Feature,RF_Importance,LR_Coefficient
Monthly Income ($),0.13367236825771597,0.0743633299404216
Daily Watch Time (Hours),0.13172132534262848,-0.029492445869170124
Age,0.11927024236429369,-0.12532466663698788
Engagement Rate (1-10),0.08103335042310267,0.013642534482874799
Support Queries Logged,0.0803171557493408,0.06520726402946819
Customer Satisfaction Score (1-10),0.07350416875129258,0.019312195570787886
Genre Preference,0.06140099460525541,0.07450162525730286
Promotional Offers Used,0.0585335514709953,0.005006543314472388
Number of Profiles Created,0.05424352041904719,-0.0357072532683838
Device Used Most Often,0.05325397275569715,-0.08478074105496275
Region,0.05161253607130496,-0.0522674231925594
Subscription Length (Months),0.048100990699369975,0.0024417039191502276
Subscription Plan,0.03424704275862684,0.03945283280815487
Payment History (On-Time/Delayed),0.019088780331328745,0.13754134439106155
